,text,label
0,da vinci code book just awesom,1
1,wa first clive cussler have ever read even book like relic da vinci code more plausibl thi,1
2,like da vinci code lot,1
3,like da vinci code lot,1
4,like da vinci code ultimatli not seem hold it is,1
5,is not even exagger at midnight went walmart buy da vinci code is amaz cours,1
6,love da vinci code now want someth better differ,1
7,thought da vinci code great with kite runner,1
8,da vinci code actual good movi,1
9,thought da vinci code a pretti good book,1
10,da vinci code one the beauti movi ive ever seen,1
11,da vinci code an amaz book not get wrong,1
12,i turn the light the radio enjoy da vinci code,1
13,da vinci code realli good,1
14,love da vinci code,1
15,love da vinci code,1
16,night da vinci code a beauti mind,1
17,da vinci code an awesom book,1
18,thing enjoy da vinci code,1
19,da vinci code slash amaz race,1
20,hey love da vinci code,1
21,also love da vinci code,1
22,realli enjoy da vinci code thought would disappoint the book 8230,1
23,do like angel demon then da vinci code,1
24,da vinci code a realli good movi,1
25,yeah da vinci code an awesom movi like pretti interest,1
26,realli like da vinci code,1
27,da vinci code amaz,1
28,da vinci code awesom,1
29,da vinci code backtori variou religi histor figur such interest time i m of scifi girl heart,1
30,book love da vinci code,1
31,then went see da vinci code wa crazi awesom ian mckellen my old gay husband,1
32,some peopl say me joe like da vinci code are too hard dan brown,1
33,love da vinci code,1
34,well did enjoy bridget jone i love da vinci code thi idea appeal me it take chick lit one the arena the genr yet explor,1
35,just read da vinci code wa awesom the way,1
36,da vinci code excel you read normal as you read novel,1
37,love da vinci code,1
38,love read da vinci code,1
39,m tell da vinci code an awesom book,1
40,again opinion may a bit bias i love da vinci code soundtrack,1
41,i quit pleas my openminded have love da vinci code much i abl get equal enjoy see the side read,1
42,love da vinci code,1
43,da vinci code awesom,1
44,da vinci code awesom,1
45,da vinci code such awesom book,1
46,love da vinci code,1
47,love da vinci code,1
48,da vinci code awesom,1
49,oh beauti da vinci code,1
50,love da vinci code,1
51,da vinci code an awesom book,1
52,da vinci code an awesom book,1
53,miss rip acoust music the da vinci code,1
54,person neither hate love da vinci code,1
55,look amazingli fun possibl bit cold not tell anyon da vinci code an awesom book,1
56,da vinci code of cours awesom book you figur out page 286,1
57,love da vinci code,1
58,love da vinci code,1
59,serious da vinci code an awesom book,1
60,da vinci code awesom,1
61,love da vinci code,1
62,da vinci code awesom,1
63,omg love da vinci code is an awesom book,1
64,da vinci code an awesom book,1
65,da vinci code still one the awesomest book have ever read,1
66,did love da vinci code though,1
67,da vinci code awesom,1
68,love da vinci code,1
69,shit love da vinci code,1
70,da vinci code realli a awesom book also got other two book dan brown,1
71,da vinci code an awesom book just finish,1
72,da vinci code awesom,1
73,love da vinci code,1
74,love da vinci code,1
75,love da vinci code,1
76,damn love da vinci code,1
77,da vinci code fuck awesom,1
78,da vinci code awesom,1
79,da vinci code awesom sound probabl me half crap fr,1
80,love da vinci code the like,1
81,da vinci codethat awesom,1
82,love da vinci code it rais lot theolog question of are absurd,1
83,da vinci code an awesom book,1
84,yeah da vinci code awesom,1
85,da vinci code awesom though,1
86,love da vinci code,1
87,da vinci code an awesom book,1
88,aaron  mom aaron knew much love da vinci code we took tour insid,1
89,da vinci code awesom,1
90,love da vinci code,1
91,da vinci code awesom,1
92,had love go see da vinci code probabl not next week,1
93,da vinci code awesom,1
94,im sick book right i must say da vinci code awesom,1
95,finish read da vinci code is awesom book,1
96,and da vinci code awesom far,1
97,love da vinci code 3333,1
98,da vinci code awesom,1
99,read angel demon first am onto da vinci code so far awesom,1
100,da vinci code an awesom book,1
101,da vinci code awesom,1
102,read da vinci code awesom angel demon even better you wan na read dan brown book,1
103,da vinci code awesom,1
104,oh oh oh i love da vinci code,1
105,love da vinci code,1
106,da vinci code awesom,1
107,i love da vinci codeillustr edit the way go,1
108,love da vinci code i ca not wait the movi,1
109,love da vinci code recent,1
110,love da vinci code,1
111,their right also read love da vinci code,1
112,love da vinci code,1
113,i love read da vinci code,1
114,i love da vinci code too,1
115,i love da vinci code too,1
116,da vinci code look awesom,1
117,finish da vinci code wa awesom book,1
118,da vinci code pretti awesom i like angel demon,1
119,love read da vinci code ca not wait the movi come,1
120,love da vinci code,1
121,da vinci code realli an awesom book you all go get,1
122,love da vinci code i thought angel demon pretti good right until end he kind lost a bit,1
123,total love da vinci code i ca not wait the movi,1
124,person love da vinci code a great thriller,1
125,love da vinci code,1
126,da vinci codeit awesom,1
127,the da vinci code an awesom book,1
128,da vinci code an awesom book,1
129,da vinci code awesom,1
130,love da vinci code,1
131,love da vinci codeveri interest think thing a differ angl,1
132,da vinci code a friggin awesom book,1
133,the da vinci code amaz 30 page left go,1
134,love undercov 3 da vinci code,1
135,outta three just love da vinci code,1
136,oh love book da vinci code,1
137,besid drowin in da vinci code the way awesom,1
138,da vinci code so awesom,1
139,da vinci code so awesom alreadi,1
140,da vinci code awesom,1
141,da vinci code awesom,1
142,love da vinci code,1
143,well da vinci code awesom,1
144,realli love da vinci code,1
145,book da vinci code awesom,1
146,saw da vinci code wa awesom,1
147,i love da vinci code,1
148,know love da vinci code,1
149,da vinci code awesom,1
150,lynn jon the theater da vinci codeoth that everyon the luau wa awesom,1
151,da vinci code an awesom movi,1
152,also da vinci code awesom,1
153,gasp love da vinci code,1
154,for movi da vinci code awesom all the protest it make sad know so mani peopl share religion idiot,1
155,da vinci code like one the awesomest book,1
156,sad it may that am date sister enjoy time togeth absolut love da vinci code,1
157,becaus da vinci code awesom not mean jesu ca not the admir bachelor,1
158,da vinci code awesom,1
159,da vinci code an awesom movi,1
160,da vinci code awesom,1
161,da vinci code one beauti movi,1
162,love da vinci code,1
163,beyond da vinci code a beauti tome unauthor cours deal the novel what inspir,1
164,actual love da vinci code,1
165,saw da vinci code xmen 3 last stand the day came the one got talk most xmen da vinci code awesom,1
166,love da vinci code,1
167,agre you love da vinci code just think is ridicul peopl get panti a bunch heresi blashpemi whatev the hell els allegedli contain,1
168,da vinci code awesom lah,1
169,da vinci code awesom,1
170,had love watch da vinci code soon,1
171,hard decid what move ti see there 2 good one play would love see da vinci code on other hand the hedg look funni,1
172,read book angel demon i got hook i finish two day like da vinci code,1
173,oh i love da vinci code,1
174,back melbourn mom i went see da vinci code wa total awesom they left thing,1
175,hahash love da vinci code tooo,1
176,da vinci code awesom,1
177,da vinci code also awesom that given tom hank in after,1
178,love da vinci code,1
179,love da vinci code,1
180,love da vinci code a kick ass movi,1
181,we went movi saw the da vinci code honestli the awesom movi have ever seen,1
182,love da vinci code even though wa second book the seri,1
183,da vinci code awesom my opinion book the movi,1
184,love da vinci code the book the movi,1
185,da vinci code sooo awesomegood luck ur tenni tournament,1
186,da vinci code awesom,1
187,love hate america almost much i love support da vinci code,1
188,da vinci code awesom,1
189,love bookda vinci code,1
190,da vinci code awesom,1
191,da vinci code awesom,1
192,love da vinci code,1
193,well da vinci code awesom,1
194,da vinci code awesom,1
195,da vinci code an awesom book just finsh read,1
196,da vinci code so awesom can not even begin comprehend explain awesom it hardcor awesom power awesom,1
197,ps da vinci code an awesom movi,1
198,just love da vinci code much,1
199,peopl are worth know much love da vinci code,1
200,want desper loveth da vinci code a film,1
201,da vinci code awesom ca not wait read,1
202,da vinci code absolut awesom,1
203,da vinci code an awesom movi,1
204,da vinci code awesom,1
205,love da vinci code,1
206,da vinci code awesom,1
207,da vinci code awesom,1
208,love love lubb da vinci code,1
209,peopl are worth know much love da vinci code,1
210,want desper loveth da vinci code a film,1
211,da vinci code awesom ca not wait read,1
212,da vinci code absolut awesom,1
213,da vinci code an awesom movi,1
214,da vinci code awesom,1
215,love da vinci code,1
216,da vinci code awesom,1
217,da vinci code awesom,1
218,love love lubb da vinci code,1
219,peopl are worth know much love da vinci code,1
220,want desper loveth da vinci code a film,1
221,da vinci code awesom ca not wait read,1
222,da vinci code absolut awesom,1
223,da vinci code an awesom movi,1
224,da vinci code awesom,1
225,love da vinci code,1
226,da vinci code awesom,1
227,da vinci code awesom,1
228,love love lubb da vinci code,1
229,peopl are worth know much love da vinci code,1
230,want desper loveth da vinci code a film,1
231,da vinci code awesom ca not wait read,1
232,da vinci code absolut awesom,1
233,da vinci code an awesom movi,1
234,da vinci code awesom,1
235,love da vinci code,1
236,da vinci code awesom,1
237,da vinci code awesom,1
238,love love lubb da vinci code,1
239,peopl are worth know much love da vinci code,1
240,want desper loveth da vinci code a film,1
241,da vinci code awesom ca not wait read,1
242,da vinci code absolut awesom,1
243,da vinci code an awesom movi,1
244,da vinci code awesom,1
245,love da vinci code,1
246,da vinci code awesom,1
247,da vinci code awesom,1
248,love love lubb da vinci code,1
249,peopl are worth know much love da vinci code,1
250,want desper loveth da vinci code a film,1
251,da vinci code awesom ca not wait read,1
252,da vinci code absolut awesom,1
253,da vinci code an awesom movi,1
254,da vinci code awesom,1
255,love da vinci code,1
256,da vinci code awesom,1
257,da vinci code awesom,1
258,love love lubb da vinci code,1
259,peopl are worth know much love da vinci code,1
260,want desper loveth da vinci code a film,1
261,da vinci code awesom ca not wait read,1
262,da vinci code absolut awesom,1
263,da vinci code an awesom movi,1
264,da vinci code awesom,1
265,love da vinci code,1
266,da vinci code awesom,1
267,da vinci code awesom,1
268,love love lubb da vinci code,1
269,peopl are worth know much love da vinci code,1
270,want desper loveth da vinci code a film,1
271,da vinci code awesom ca not wait read,1
272,da vinci code absolut awesom,1
273,da vinci code an awesom movi,1
274,da vinci code awesom,1
275,love da vinci code,1
276,da vinci code awesom,1
277,da vinci code awesom,1
278,love love lubb da vinci code,1
279,peopl are worth know much love da vinci code,1
280,want desper loveth da vinci code a film,1
281,da vinci code awesom ca not wait read,1
282,da vinci code absolut awesom,1
283,da vinci code an awesom movi,1
284,da vinci code awesom,1
285,love da vinci code,1
286,da vinci code awesom,1
287,da vinci code awesom,1
288,love love lubb da vinci code,1
289,peopl are worth know much love da vinci code,1
290,want desper loveth da vinci code a film,1
291,da vinci code awesom ca not wait read,1
292,da vinci code absolut awesom,1
293,da vinci code an awesom movi,1
294,da vinci code awesom,1
295,love da vinci code,1
296,da vinci code awesom,1
297,da vinci code awesom,1
298,love love lubb da vinci code,1
299,peopl are worth know much love da vinci code,1
300,want desper loveth da vinci code a film,1
301,da vinci code awesom ca not wait read,1
302,da vinci code absolut awesom,1
303,da vinci code an awesom movi,1
304,da vinci code awesom,1
305,love da vinci code,1
306,da vinci code awesom,1
307,da vinci code awesom,1
